Id;Label
sewanee the university of the south;sewanee the university of the south
natural sciences and engineering research council;natural sciences and engineering research council
tsinghua university;tsinghua university
college of business administration;college of business administration
tata institute of fundamental research;tata institute of fundamental research
university of bremen;university of bremen
ecole pour l informatique et les techniques avancees;ecole pour l informatique et les techniques avancees
comenius university in bratislava;comenius university in bratislava
university of st thomas;university of st thomas
lehigh university;lehigh university
university of navarra;university of navarra
national central university;national central university
carnegie institute of technology;carnegie institute of technology
oxford brookes university;oxford brookes university
johns hopkins university;johns hopkins university
mitsubishi electric research laboratories;mitsubishi electric research laboratories
missouri state university;missouri state university
lockheed martin advanced technology laboratories;lockheed martin advanced technology laboratories
renaissance computing institute;renaissance computing institute
terry college of business;terry college of business
national university of defense technology;national university of defense technology
university of rio grande;university of rio grande
university of parma;university of parma
katholieke universiteit leuven;katholieke universiteit leuven
university of pretoria;university of pretoria
bank of america home loans;bank of america home loans
university of oslo;university of oslo
sam houston state university;sam houston state university
university of nebraska lincoln;university of nebraska lincoln
world bank;world bank
motorola;motorola
ghent university;ghent university
vanderbilt university medical center;vanderbilt university medical center
northumbria university;northumbria university
university of maribor;university of maribor
auckland university of technology;auckland university of technology
national center for supercomputing applications;national center for supercomputing applications
national taiwan university;national taiwan university
university of oregon;university of oregon
vanderbilt university;vanderbilt university
science college;science college
university of missouri;university of missouri
national institute of standards and technology;national institute of standards and technology
eth zurich;eth zurich
university of windsor;university of windsor
fujitsu;fujitsu
university of zurich;university of zurich
university of illinois at urbana champaign;university of illinois at urbana champaign
virginia tech;virginia tech
pontifical catholic university of rio de janeiro;pontifical catholic university of rio de janeiro
dalhousie university;dalhousie university
autonomous university of madrid;autonomous university of madrid
university of sannio;university of sannio
strategy;strategy
universidade federal do rio grande do sul;universidade federal do rio grande do sul
graz university of technology;graz university of technology
telefonica;telefonica
university college dublin;university college dublin
imperial college london;imperial college london
coverity;coverity
national university of ireland;national university of ireland
university of north carolina at wilmington;university of north carolina at wilmington
fleet numerical meteorology and oceanography center;fleet numerical meteorology and oceanography center
at t labs;at t labs
harvard t h chan school of public health;harvard t h chan school of public health
university of montana;university of montana
budapest university of technology and economics;budapest university of technology and economics
otterbein university;otterbein university
agere systems;agere systems
university of southern queensland;university of southern queensland
university of warsaw;university of warsaw
msu graduate school of business administration;msu graduate school of business administration
university of derby;university of derby
mitre corporation;mitre corporation
ecole normale superieure de cachan;ecole normale superieure de cachan
university of milan;university of milan
university of copenhagen;university of copenhagen
swarthmore college;swarthmore college
stockholm university;stockholm university
etsi;etsi
oregon institute of technology;oregon institute of technology
university of neuchâtel;university of neuchâtel
yahoo;yahoo
new jersey institute of technology;new jersey institute of technology
wichita state university;wichita state university
university of mannheim;university of mannheim
avaya;avaya
agh university of science and technology;agh university of science and technology
florida state university;florida state university
university of sheffield;university of sheffield
nanyang technological university;nanyang technological university
university of dusseldorf;university of dusseldorf
interdisciplinary center herzliya;interdisciplinary center herzliya
university of lincoln;university of lincoln
california state university san bernardino;california state university san bernardino
university of north carolina at chapel hill;university of north carolina at chapel hill
indian institute of technology bombay;indian institute of technology bombay
tufts university school of medicine;tufts university school of medicine
university of groningen;university of groningen
university of limerick;university of limerick
california state university long beach;california state university long beach
federal university of para;federal university of para
rowan university;rowan university
said business school;said business school
international institute of information technology hyderabad;international institute of information technology hyderabad
university of technology sydney;university of technology sydney
columbia university;columbia university
university of tsukuba;university of tsukuba
quinnipiac university;quinnipiac university
san jose state university;san jose state university
marquette university;marquette university
george mason university;george mason university
university of crete;university of crete
birmingham southern college;birmingham southern college
university of trier;university of trier
slippery rock university of pennsylvania;slippery rock university of pennsylvania
nipissing university;nipissing university
university of los andes;university of los andes
national institute of technology meghalaya;national institute of technology meghalaya
technion israel institute of technology;technion israel institute of technology
queen s university;queen s university
university of hamburg;university of hamburg
deakin university;deakin university
swedish institute of computer science;swedish institute of computer science
nanjing university;nanjing university
university of colorado boulder;university of colorado boulder
university of wisconsin eau claire;university of wisconsin eau claire
faculty of information technology university džemal bijedic of mostar;faculty of information technology university džemal bijedic of mostar
indian institute of science;indian institute of science
langley research center;langley research center
kelley school of business;kelley school of business
grinnell college;grinnell college
open university of catalonia;open university of catalonia
university of massachusetts boston;university of massachusetts boston
monroe community college;monroe community college
exxonmobil;exxonmobil
toshiba;toshiba
clemson university;clemson university
eindhoven university of technology;eindhoven university of technology
goldsmiths university of london;goldsmiths university of london
rand corporation;rand corporation
royal institute of technology;royal institute of technology
university of passau;university of passau
university of wisconsin milwaukee;university of wisconsin milwaukee
university of new south wales;university of new south wales
dundalk institute of technology;dundalk institute of technology
flinders university;flinders university
centrum wiskunde informatica;centrum wiskunde informatica
university of malaga;university of malaga
thoughtworks;thoughtworks
university of north florida;university of north florida
university of bordeaux;university of bordeaux
mcgill university;mcgill university
university of utah;university of utah
university of antwerp;university of antwerp
university of chile;university of chile
sun microsystems laboratories;sun microsystems laboratories
carthage college;carthage college
princeton university;princeton university
winthrop university;winthrop university
forschungszentrum informatik;forschungszentrum informatik
university of the basque country;university of the basque country
lund university;lund university
copenhagen business school;copenhagen business school
santa fe institute;santa fe institute
university of brasilia;university of brasilia
university of pisa;university of pisa
illinois state university;illinois state university
university of texas at arlington;university of texas at arlington
university college london;university college london
university at buffalo;university at buffalo
department of systems biology;department of systems biology
ben gurion university of the negev;ben gurion university of the negev
jiangxi university of finance and economics;jiangxi university of finance and economics
ottawa university;ottawa university
applied science private university;applied science private university
nagoya university;nagoya university
college of charleston;college of charleston
pepperdine university;pepperdine university
university of southampton;university of southampton
southern methodist university;southern methodist university
leiden university;leiden university
university of nantes;university of nantes
oak ridge national laboratory;oak ridge national laboratory
university of hawaii;university of hawaii
warsaw university of technology;warsaw university of technology
university of toledo;university of toledo
fairchild semiconductor international inc;fairchild semiconductor international inc
tokyo university of agriculture and technology;tokyo university of agriculture and technology
national research council;national research council
monash university;monash university
johns hopkins bloomberg school of public health;johns hopkins bloomberg school of public health
university of west georgia;university of west georgia
university of porto;university of porto
university of glasgow;university of glasgow
clayton state university;clayton state university
middlesex university;middlesex university
university of tasmania;university of tasmania
kasetsart university;kasetsart university
mentor graphics;mentor graphics
university of alabama;university of alabama
fraunhofer society;fraunhofer society
university of california;university of california
university of cambridge;university of cambridge
vienna university of technology;vienna university of technology
university of hasselt;university of hasselt
university of l aquila;university of l aquila
sony computer entertainment;sony computer entertainment
universite catholique de louvain;universite catholique de louvain
sheffield hallam university;sheffield hallam university
argonne national laboratory;argonne national laboratory
environmental research institute of michigan;environmental research institute of michigan
institut gaspard monge;institut gaspard monge
st jerome s university;st jerome s university
konkuk university;konkuk university
heidelberg university;heidelberg university
florida a m university;florida a m university
