Id;Label
binghamton university;binghamton university
center for information technology;center for information technology
it university of copenhagen;it university of copenhagen
university of birmingham;university of birmingham
xi an jiaotong university;xi an jiaotong university
university of portland;university of portland
carnegie mellon university;carnegie mellon university
t systems;t systems
lawrence livermore national laboratory;lawrence livermore national laboratory
brown university;brown university
university of kansas;university of kansas
school of computer science university of manchester;school of computer science university of manchester
university of puerto rico;university of puerto rico
northeastern university college of computer and information science;northeastern university college of computer and information science
symantec;symantec
centaur technology;centaur technology
university of bath;university of bath
university of lugano;university of lugano
kyushu university;kyushu university
kyoto sangyo university;kyoto sangyo university
polish academy of sciences;polish academy of sciences
university of louisiana at lafayette;university of louisiana at lafayette
peking university;peking university
instituto superior tecnico;instituto superior tecnico
lahore university of management sciences;lahore university of management sciences
seton hall university;seton hall university
queen mary university of london;queen mary university of london
samsung;samsung
williams college;williams college
ain shams university;ain shams university
oregon state university;oregon state university
university of southern california;university of southern california
united states military academy;united states military academy
parc;parc
university of bucharest;university of bucharest
zhejiang sci tech university;zhejiang sci tech university
the aerospace corporation;the aerospace corporation
university of texas at san antonio;university of texas at san antonio
sybase;sybase
university of alcala;university of alcala
university of jena;university of jena
yonsei university;yonsei university
saarland university;saarland university
minneapolis institute of arts;minneapolis institute of arts
university of beira interior;university of beira interior
university of science and technology of china;university of science and technology of china
sandia national laboratories;sandia national laboratories
universite de namur;universite de namur
university of cyprus;university of cyprus
canisius college;canisius college
national technical university of athens;national technical university of athens
information technology university;information technology university
university of south africa;university of south africa
hewlett packard;hewlett packard
paul sabatier university;paul sabatier university
dso national laboratories;dso national laboratories
uganda revenue authority;uganda revenue authority
depaul university;depaul university
national presto industries;national presto industries
federal university of paraiba;federal university of paraiba
university of essex;university of essex
technical university of madrid;technical university of madrid
university of barcelona;university of barcelona
victoria university australia;victoria university australia
aalborg university;aalborg university
university of naples federico ii;university of naples federico ii
information sciences institute;information sciences institute
sao paulo state university;sao paulo state university
epic systems;epic systems
national university of la plata;national university of la plata
digital management inc;digital management inc
swinburne university of technology;swinburne university of technology
college of william mary;college of william mary
xerox;xerox
institute of science and technology austria;institute of science and technology austria
duke university;duke university
national chiao tung university;national chiao tung university
university of st andrews;university of st andrews
red hat;red hat
university of iowa;university of iowa
texas instruments;texas instruments
calvin college;calvin college
oregon health science university;oregon health science university
university of saskatchewan;university of saskatchewan
national institute of informatics;national institute of informatics
cornell university;cornell university
university of dundee;university of dundee
isaac newton institute;isaac newton institute
citrix systems;citrix systems
bucknell university;bucknell university
siemens;siemens
instituto politecnico nacional;instituto politecnico nacional
university of illinois at chicago;university of illinois at chicago
islamic azad university south tehran branch;islamic azad university south tehran branch
hankyong national university;hankyong national university
technical university of denmark;technical university of denmark
national university of cordoba;national university of cordoba
illinois institute of technology;illinois institute of technology
ecole polytechnique federale de lausanne;ecole polytechnique federale de lausanne
university of bristol;university of bristol
eaton corporation;eaton corporation
university of north georgia;university of north georgia
technical university of dortmund;technical university of dortmund
tampere university of technology;tampere university of technology
university of mainz;university of mainz
french institute for research in computer science and automation;french institute for research in computer science and automation
california institute of technology;california institute of technology
new york state department of environmental conservation;new york state department of environmental conservation
king s college london;king s college london
abo akademi university;abo akademi university
joseph fourier university;joseph fourier university
thammasat university;thammasat university
university of helsinki;university of helsinki
new mexico state university;new mexico state university
shanghai jiao tong university;shanghai jiao tong university
at t information systems;at t information systems
rutgers university;rutgers university
malardalen university college;malardalen university college
academy of finland;academy of finland
vassar college;vassar college
general electric;general electric
united states department of defense;united states department of defense
technical university of berlin;technical university of berlin
st john s college cambridge;st john s college cambridge
saint petersburg state university;saint petersburg state university
saint louis university;saint louis university
university of buenos aires;university of buenos aires
rochester institute of technology;rochester institute of technology
clark atlanta university;clark atlanta university
linkoping university;linkoping university
old dominion university;old dominion university
hofstra university;hofstra university
ulster university;ulster university
mit sloan school of management;mit sloan school of management
indian institute of technology guwahati;indian institute of technology guwahati
brno university of technology;brno university of technology
lucid inc;lucid inc
university of southern denmark;university of southern denmark
artificial intelligence center;artificial intelligence center
polytechnic university of valencia;polytechnic university of valencia
harvard university;harvard university
department of trade and industry;department of trade and industry
national and kapodistrian university of athens;national and kapodistrian university of athens
university of washington;university of washington
stellenbosch university;stellenbosch university
university of western ontario;university of western ontario
university at albany suny;university at albany suny
michigan technological university;michigan technological university
university of lyon;university of lyon
xilinx;xilinx
tilburg university;tilburg university
burlington coat factory;burlington coat factory
university of liege;university of liege
university of electro communications;university of electro communications
united nations university;united nations university
appalachian state university;appalachian state university
university of york;university of york
ecole polytechnique de montreal;ecole polytechnique de montreal
international computer science institute;international computer science institute
ca technologies;ca technologies
university of western australia;university of western australia
university of houston;university of houston
athens university of economics and business;athens university of economics and business
qualcomm;qualcomm
lehman college;lehman college
university of florence;university of florence
east china normal university;east china normal university
polaris industries;polaris industries
university of vic;university of vic
university of vermont;university of vermont
development corporations;development corporations
university of sussex;university of sussex
cri;cri
university of paris sud;university of paris sud
university of innsbruck;university of innsbruck
ecole polytechnique;ecole polytechnique
indiana university;indiana university
concordia university;concordia university
indian institute of technology kanpur;indian institute of technology kanpur
rice university;rice university
simon fraser university;simon fraser university
science applications international corporation;science applications international corporation
university of newcastle;university of newcastle
universite de montreal;universite de montreal
deutsche bank;deutsche bank
university of tromso;university of tromso
university of south australia;university of south australia
seattle university;seattle university
american society of cinematographers;american society of cinematographers
masaryk university;masaryk university
boston university;boston university
university of kent;university of kent
cambridge technology partners;cambridge technology partners
university of miyazaki;university of miyazaki
american physical therapy association;american physical therapy association
rutgers camden;rutgers camden
norwegian computing center;norwegian computing center
indian council of agricultural research;indian council of agricultural research
victoria university of wellington;victoria university of wellington
georgia institute of technology;georgia institute of technology
university of orleans;university of orleans
stmicroelectronics;stmicroelectronics
mcmaster university;mcmaster university
university of london;university of london
complutense university of madrid;complutense university of madrid
state university of new york system;state university of new york system
reykjavik university;reykjavik university
tel aviv university;tel aviv university
national autonomous university of mexico;national autonomous university of mexico
institute for quantum optics and quantum information;institute for quantum optics and quantum information
humboldt state university;humboldt state university
university of trento;university of trento
goethe university frankfurt;goethe university frankfurt
griffith university;griffith university
university of franche comte;university of franche comte
schiller international university;schiller international university
chalmers university of technology;chalmers university of technology
university of liverpool;university of liverpool
harvard medical school;harvard medical school
turku centre for computer science;turku centre for computer science
universite du quebec a montreal;universite du quebec a montreal
university of thessaly;university of thessaly
tsinghua university;tsinghua university
university of bremen;university of bremen
dakota state university;dakota state university
university of ontario institute of technology;university of ontario institute of technology
comenius university in bratislava;comenius university in bratislava
allegheny college;allegheny college
oxford brookes university;oxford brookes university
lehigh university;lehigh university
alexandru ioan cuza university;alexandru ioan cuza university
national central university;national central university
carnegie institute of technology;carnegie institute of technology
indian institute of technology roorkee;indian institute of technology roorkee
johns hopkins university;johns hopkins university
jordan university of science and technology;jordan university of science and technology
university of parma;university of parma
katholieke universiteit leuven;katholieke universiteit leuven
university of oslo;university of oslo
university of nebraska lincoln;university of nebraska lincoln
motorola;motorola
ghent university;ghent university
university of udine;university of udine
university of maribor;university of maribor
national taiwan university;national taiwan university
university of oregon;university of oregon
vanderbilt university;vanderbilt university
japan advanced institute of science and technology;japan advanced institute of science and technology
science college;science college
university of missouri;university of missouri
national institute of standards and technology;national institute of standards and technology
eth zurich;eth zurich
fujitsu;fujitsu
pontifical catholic university of rio de janeiro;pontifical catholic university of rio de janeiro
university of illinois at urbana champaign;university of illinois at urbana champaign
virginia tech;virginia tech
university of zurich;university of zurich
dalhousie university;dalhousie university
autonomous university of madrid;autonomous university of madrid
indian institute of technology hyderabad;indian institute of technology hyderabad
university of sannio;university of sannio
national dong hwa university;national dong hwa university
universidade federal do rio grande do sul;universidade federal do rio grande do sul
university of east anglia;university of east anglia
graz university of technology;graz university of technology
university college dublin;university college dublin
imperial college london;imperial college london
cesnet;cesnet
fleet numerical meteorology and oceanography center;fleet numerical meteorology and oceanography center
at t labs;at t labs
university of milano bicocca;university of milano bicocca
analog devices;analog devices
budapest university of technology and economics;budapest university of technology and economics
agere systems;agere systems
university of warsaw;university of warsaw
seattle children s research institute;seattle children s research institute
ecole normale superieure de cachan;ecole normale superieure de cachan
mitre corporation;mitre corporation
university of milan;university of milan
universite du quebec a chicoutimi;universite du quebec a chicoutimi
superior national school of advanced techniques;superior national school of advanced techniques
national instruments;national instruments
university of copenhagen;university of copenhagen
swarthmore college;swarthmore college
stockholm university;stockholm university
university of neuchâtel;university of neuchâtel
yahoo;yahoo
new jersey institute of technology;new jersey institute of technology
city college of new york;city college of new york
wichita state university;wichita state university
university of mannheim;university of mannheim
avaya;avaya
university of gothenburg;university of gothenburg
florida state university;florida state university
university of sheffield;university of sheffield
nanyang technological university;nanyang technological university
interdisciplinary center herzliya;interdisciplinary center herzliya
swansea university;swansea university
university of dusseldorf;university of dusseldorf
supelec;supelec
university of north carolina at chapel hill;university of north carolina at chapel hill
cryptography research;cryptography research
indian institute of technology bombay;indian institute of technology bombay
university of groningen;university of groningen
evans sutherland;evans sutherland
sungkyunkwan university;sungkyunkwan university
university of technology sydney;university of technology sydney
columbia university;columbia university
university of tsukuba;university of tsukuba
george mason university;george mason university
university of crete;university of crete
university of trier;university of trier
birmingham southern college;birmingham southern college
national institute of education;national institute of education
university of los andes;university of los andes
american university of beirut;american university of beirut
technion israel institute of technology;technion israel institute of technology
queen s university;queen s university
swedish institute of computer science;swedish institute of computer science
augsburg college;augsburg college
university of hamburg;university of hamburg
nanjing university;nanjing university
university of colorado boulder;university of colorado boulder
purdue university school of electrical and computer engineering;purdue university school of electrical and computer engineering
langley research center;langley research center
indian institute of science;indian institute of science
open university of catalonia;open university of catalonia
kochi university of technology;kochi university of technology
monroe community college;monroe community college
university of western macedonia;university of western macedonia
clemson university;clemson university
eindhoven university of technology;eindhoven university of technology
university of toronto department of computer science;university of toronto department of computer science
rand corporation;rand corporation
university of wisconsin milwaukee;university of wisconsin milwaukee
university of new south wales;university of new south wales
university of passau;university of passau
university of malaga;university of malaga
university of bordeaux;university of bordeaux
lg electronics;lg electronics
mcgill university;mcgill university
university of utah;university of utah
dickinson college;dickinson college
university of chile;university of chile
sun microsystems laboratories;sun microsystems laboratories
princeton university;princeton university
institute for advanced study;institute for advanced study
forschungszentrum informatik;forschungszentrum informatik
