Id;Label
eindhoven university of technology;eindhoven university of technology
university of toronto department of computer science;university of toronto department of computer science
rand corporation;rand corporation
university of wisconsin milwaukee;university of wisconsin milwaukee
university of new south wales;university of new south wales
university of passau;university of passau
university of malaga;university of malaga
university of bordeaux;university of bordeaux
mcgill university;mcgill university
university of utah;university of utah
dickinson college;dickinson college
university of chile;university of chile
sun microsystems laboratories;sun microsystems laboratories
princeton university;princeton university
institute for advanced study;institute for advanced study
forschungszentrum informatik;forschungszentrum informatik
lund university;lund university
university of pisa;university of pisa
it university;it university
saint vincent college;saint vincent college
ochanomizu university;ochanomizu university
university of texas at arlington;university of texas at arlington
university college london;university college london
university at buffalo;university at buffalo
nankai university;nankai university
ben gurion university of the negev;ben gurion university of the negev
applied science private university;applied science private university
nagoya university;nagoya university
university of southampton;university of southampton
city university of new york;city university of new york
leiden university;leiden university
university of nantes;university of nantes
oak ridge national laboratory;oak ridge national laboratory
university of hawaii;university of hawaii
international telecommunication union;international telecommunication union
monash university;monash university
university of glasgow;university of glasgow
middlesex university;middlesex university
fraunhofer society;fraunhofer society
university of california;university of california
bates college;bates college
university of cambridge;university of cambridge
vienna university of technology;vienna university of technology
university of hasselt;university of hasselt
argonne national laboratory;argonne national laboratory
universite catholique de louvain;universite catholique de louvain
university of ioannina;university of ioannina
institut gaspard monge;institut gaspard monge
sarah lawrence college;sarah lawrence college
heidelberg university;heidelberg university
ryukoku university;ryukoku university
purdue university;purdue university
alcatel lucent;alcatel lucent
university of oxford;university of oxford
amazon com;amazon com
university of tubingen;university of tubingen
university of tampere;university of tampere
mines paristech;mines paristech
carleton university;carleton university
loyola university maryland;loyola university maryland
rensselaer polytechnic institute;rensselaer polytechnic institute
oracle corporation;oracle corporation
nicta;nicta
florida international university;florida international university
georgia institute of technology college of computing;georgia institute of technology college of computing
ohio state university;ohio state university
university of tartu;university of tartu
department of computer science university of illinois at urbana champaign;department of computer science university of illinois at urbana champaign
lulea university of technology;lulea university of technology
switch;switch
courant institute of mathematical sciences;courant institute of mathematical sciences
national chengchi university;national chengchi university
national taiwan ocean university;national taiwan ocean university
telcordia technologies;telcordia technologies
xidian university;xidian university
royal holloway university of london;royal holloway university of london
dresden university of technology;dresden university of technology
rolf c hagen group;rolf c hagen group
tensilica;tensilica
fortify software;fortify software
vmware;vmware
max planck institute for software systems;max planck institute for software systems
california polytechnic state university;california polytechnic state university
university of stuttgart;university of stuttgart
amherst college;amherst college
russian academy of sciences;russian academy of sciences
wheaton college;wheaton college
nanjing university of aeronautics and astronautics;nanjing university of aeronautics and astronautics
newcastle university;newcastle university
nec;nec
university of california san diego;university of california san diego
ogi school of science and engineering;ogi school of science and engineering
kaist;kaist
hanyang university;hanyang university
university of perpignan;university of perpignan
university of auckland;university of auckland
kalamazoo college;kalamazoo college
carnegie mellon silicon valley;carnegie mellon silicon valley
ebay;ebay
university of california santa cruz;university of california santa cruz
college de france;college de france
aalto university;aalto university
chennai mathematical institute;chennai mathematical institute
stony brook university;stony brook university
university of louisiana at monroe;university of louisiana at monroe
research institute for mathematical sciences;research institute for mathematical sciences
university of paris;university of paris
boston college;boston college
university of calabria;university of calabria
louisiana state university;louisiana state university
intertrust technologies corporation;intertrust technologies corporation
osaka university;osaka university
texas state university;texas state university
university of geneva;university of geneva
pierre and marie curie university;pierre and marie curie university
muskingum university;muskingum university
university of lubeck;university of lubeck
computer systems institute;computer systems institute
western michigan university;western michigan university
polytechnic university of catalonia;polytechnic university of catalonia
la trobe university;la trobe university
university of north texas;university of north texas
university of vienna;university of vienna
syracuse university;syracuse university
university of nice sophia antipolis;university of nice sophia antipolis
chiba university;chiba university
fudan university;fudan university
clarkson university;clarkson university
university of california riverside;university of california riverside
university of stirling;university of stirling
weizmann institute of science;weizmann institute of science
los alamos national laboratory;los alamos national laboratory
macquarie university;macquarie university
case western reserve university;case western reserve university
radboud university nijmegen;radboud university nijmegen
university of massachusetts amherst;university of massachusetts amherst
hebrew university of jerusalem;hebrew university of jerusalem
university of delaware;university of delaware
university of leeds;university of leeds
heriot watt university;heriot watt university
tokyo institute of technology;tokyo institute of technology
