Source;Target;Weight
national university of singapore;university of pennsylvania;1.32936635468
national university of singapore;bbn technologies;0.0565836061526
university of washington;university of edinburgh;0.243613123994
national research council;university of edinburgh;0.51671014171
indiana university bloomington;ohio state university;0.0909090909091
stanford university;university of rochester;0.169424094424
google;university of rochester;0.033950617284
stanford university;brown university;0.221336756925
google;brown university;0.30399540833
stanford university;university of delaware;0.360968660969
google;university of delaware;0.00740740740741
stanford university;cornell university;0.378651695527
national university of singapore;university of sydney;0.025
johns hopkins university;johns hopkins university;3.86468493931
national university of singapore;university of california berkeley;0.590763610632
university of massachusetts amherst;stanford university;0.934697963068
massachusetts institute of technology;stanford university;0.646472117428
university of leeds;national institute of informatics;0.0172413793103
university of leeds;pierre and marie curie university;0.0172413793103
national institute of informatics;new mexico state university;0.15
university of trento;university of rome tor vergata;0.432243709226
university of trento;karlsruhe institute of technology;0.152412084498
national institute of information and communications technology;istanbul technical university;0.0625
national institute of information and communications technology;university of skovde;0.0625
nicta;university of washington;0.0648148148148
nicta;national research council;0.00925925925926
nicta;microsoft;0.0925925925926
university of melbourne;university of washington;0.0879346104725
university of melbourne;national research council;0.00462962962963
university of melbourne;microsoft;0.14962962963
nicta;fudan university;0.00694444444444
nicta;university of texas at dallas;0.0138888888889
nicta;bosch;0.00694444444444
university of melbourne;fudan university;0.00880555555556
university of melbourne;university of texas at dallas;0.00694444444444
university of melbourne;bosch;0.00347222222222
nicta;carnegie mellon university;0.0416666666667
university of melbourne;carnegie mellon university;0.199877777778
university of sydney;university of pennsylvania;0.35
ebay;mayo clinic;0.0263157894737
national research council;johns hopkins university;0.0843304843305
future university hakodate;johns hopkins university;0.0384615384615
university of trento;southern methodist university;0.0666666666667
university of toronto;carnegie mellon university;0.1
university of toronto;university of utah;0.133333333333
university of toronto;jordan university of science and technology;0.05
university of oxford;xerox;0.0638888888889
university of maryland college park;university of massachusetts amherst;0.279636704177
uppsala university;university of pennsylvania;0.0789166666667
university of stuttgart;university of pennsylvania;0.212785131535
columbia university;columbia university;1.7200381179
columbia university;national research council;0.146875
carnegie mellon university;stanford university;0.838773927323
instituto superior tecnico;stanford university;0.0576402321083
brigham young university;brigham young university;0.0869565217391
university of groningen;university of groningen;0.244444444444
ohio state university;university of edinburgh;0.260108024691
heidelberg university;bar ilan university;0.0588235294118
harbin institute of technology;rutgers university;0.0263157894737
harbin institute of technology;national research council;0.0263157894737
carnegie mellon university;university of washington;0.502456479691
carnegie mellon university;indian institute of technology bombay;0.0854545454545
carnegie mellon university;hong kong university of science and technology;0.134427609428
carnegie mellon university;university college london;0.00833333333333
carnegie mellon university;columbia university;0.155602104985
carnegie mellon university;xerox;0.00416666666667
university of oxford;hong kong university of science and technology;0.05
university of oxford;university college london;0.0166666666667
university of oxford;columbia university;0.108333333333
pohang university of science and technology;national institute of standards and technology;0.0333333333333
microsoft;national institute of standards and technology;0.05
koc university;sri international;0.03125
koc university;institut eurecom;0.03125
university of melbourne;university of texas at austin;0.0459770114943
national research council;bbn technologies;0.0454545454545
university of maryland college park;national taiwan university;0.0333333333333
university of maryland college park;national chengchi university;0.0166666666667
yahoo;massachusetts institute of technology;0.103686635945
stanford university;university of california san diego;0.0877941381231
macquarie university;brandeis university;0.0454545454545
wroclaw university of technology;brandeis university;0.0454545454545
carnegie mellon university;microsoft;0.366208457759
university of maryland college park;ford motor company;0.0350877192982
university of maryland college park;northwestern university;0.108636977058
sapienza university of rome;university of edinburgh;0.217857142857
massachusetts institute of technology;university of edinburgh;0.491863249484
