KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
hipeac,HiPEAC,systems,"architecture, programming languages,embedded & real time",conference,International Conference on High Performance and Embedded Architectures and Compilers,https://dblp.uni-trier.de/db/conf/hipeac/,2019
hoti,HOTI,systems,networks,conference,IEEE Symposium on High Performance Interconnects,https://dblp.uni-trier.de/db/conf/hoti/,2019
hotos,HotOS,systems,operating systems,conference,USENIX Workshop on Hot Topics in Operating Systems,https://dblp.uni-trier.de/db/conf/hotos/,2019
hpca,HPCA,systems,"high performance computing, architecture",conference,International Symposium on High Performance Computer Architecture,https://dblp.uni-trier.de/db/conf/hpca/,2019
hpcc,HPCC,systems,high performance computing,conference,IEEE International Conference on High Performance Computing & Communications Conference,https://dblp.uni-trier.de/db/conf/hpcc/,2019
hpdc,HPDC,systems,"high performance computing,distributed systems",conference,ACM International Symposium on High Performance Distributed Computing,https://dblp.uni-trier.de/db/conf/hpdc/,2019
ht,Hypertext,,web technologies,conference,ACM Conference on Hypertext and Hypermedia,https://dblp.uni-trier.de/db/conf/ht/,2019
iaai,IAAI,artificial intelligence,,conference,Innovative Applications in AI,https://dblp.uni-trier.de/db/conf/iaai/,2019
icac,ICAC,artificial intelligence,systems,conference,IEEE International Conference on Autonomic Computing,https://dblp.uni-trier.de/db/conf/icac/,2019
icalp,ICALP,theory,programming languages,conference,"International Colloquium on Automata, Languages and Programming",https://dblp.uni-trier.de/db/conf/icalp/,2019
icaps,ICAPS,artificial intelligence,,conference,International Conference on Automated Planning and Scheduling,https://dblp.org/db/conf/aips/,2019
icassp,ICASSP,other,,conference,"International Conference on Acoustics, Speech and Signal Processing",https://dblp.uni-trier.de/db/conf/icassp/,2019
icc,ICC,systems,networks,conference,International Conference on Communications,https://dblp.uni-trier.de/db/conf/icc/,2019
iccad,ICCAD,systems,design automation,conference,IEEE/ACM International Conference on Computer-Aided Design,https://dblp.uni-trier.de/db/conf/iccad/,2019
icccn,ICCCN,systems,networks,conference,International Conference on Computer Communications and Networks,https://dblp.uni-trier.de/db/conf/icccn/,2019
iccv,ICCV,artificial intelligence,vision,conference,IEEE International Conference on Computer Vision,https://dblp.uni-trier.de/db/conf/iccv/,2019
icdcs,ICDCS,systems,distributed systems,conference,International Conference on Distributed Computing Systems,https://dblp.uni-trier.de/db/conf/icdcs/,2019
icde,ICDE,databases,,conference,International Conference on Data Engineering,https://dblp.uni-trier.de/db/conf/icde/,2019
icdm,ICDM,databases,data mining,conference,IEEE International Conference on Data Mining,https://dblp.uni-trier.de/db/conf/icdm/,2019
icdt,ICDT,databases,,conference,International Conference on Database Theory,https://dblp.uni-trier.de/db/conf/icdt/,2019
icebe,ICEBE,other,,conference,IEEE International Conference on e-Business Engineering,https://dblp.uni-trier.de/db/conf/icebe/,2019
icer,ICER,cs education,,conference,International Computing Education Research Workshop/Conference,https://dblp.uni-trier.de/db/conf/icer/,2019
icfp,ICFP,theory,programming languages,conference,International Conference on Functional Programming,https://dblp.uni-trier.de/db/conf/icfp/,2019
icgse,ICGSE,software engineering,,conference,IEEE International Conference on Global Software Engineering,https://dblp.uni-trier.de/db/conf/icgse/,2019
icis,ICIS,other,,conference,International Conference on Information Systems,https://dblp.uni-trier.de/db/conf/icis/,2019
iclp,ICLP,theory,,conference,International Conference on Logic Programming,https://dblp.uni-trier.de/db/conf/iclp/,2019
